frame,Si1_idx,O_idx,Si2_idx,angle_deg
70,19,65,34,123.3504566285634
70,20,66,32,138.46113690700852
70,21,67,33,141.15441324007728
70,23,69,31,129.38119502206018
70,25,71,30,128.23724216501978
80,0,96,35,128.30921356832357
80,1,49,12,137.48412436134657
80,1,73,30,141.90179994384707
80,1,97,32,142.88445356058838
80,1,121,31,143.12639681795955
80,2,74,31,166.25856610230196
80,2,98,33,153.14482927145588
80,2,122,30,150.00170083008953
80,3,99,34,161.88971961573156
80,4,76,27,157.16816174861742
80,4,124,28,134.1451533779154
80,5,77,29,161.66677520533
80,5,125,26,145.0064855013613
80,6,78,26,149.13220537846678
80,6,102,30,165.7809948756331
80,6,126,29,149.99147593347325
80,7,79,28,147.2689493387182
80,7,103,31,153.02620184244157
80,7,127,27,132.60006162416357
80,8,80,35,149.31435198878137
80,8,104,27,145.69110628381736
80,8,128,32,143.00688135556635
80,9,57,13,133.08350944139522
80,9,81,33,133.78383822303036
80,9,105,28,162.5934880043397
80,9,129,34,141.7704440864881
80,10,82,34,154.17538932296824
80,10,106,29,136.8815230699462
80,10,130,33,144.12930531739127
80,11,83,32,137.95166312056995
80,11,107,26,154.85781717383077
80,11,131,35,142.0092750978498
80,12,84,20,138.6995448827634
80,12,108,25,139.01166092810033
80,13,91,16,138.0065548632234
80,13,115,21,137.42573288544827
80,14,60,27,142.48392662165645
80,15,61,26,113.90680577412492
80,16,62,28,129.56150284389864
80,17,63,29,124.36150385821831
80,18,64,35,147.67162932679543
80,19,65,34,119.43226166787049
80,20,66,32,136.84410246767632
80,21,67,33,150.8912899093074
80,23,69,31,126.66568234451827
80,25,71,30,134.28413943138335
90,0,96,35,135.71137898086428
90,1,49,12,135.48881399707645
90,1,73,30,146.5233118476781
90,1,97,32,143.83492460419922
90,1,121,31,162.47466715807715
90,2,74,31,144.29759277940786
90,2,98,33,165.12859892044835
90,2,122,30,154.20146031366983
90,3,99,34,149.40474511801202
90,4,76,27,145.6310400963918
90,4,124,28,155.75380912478096
90,5,77,29,172.7179850210518
90,5,125,26,131.40044962657464
90,6,78,26,137.6066245862551
90,6,102,30,170.36267132566448
90,6,126,29,132.16975772574753
90,7,79,28,133.97974573102775
90,7,103,31,155.650735346927
90,7,127,27,152.89066289459197
90,8,80,35,145.1219003038503
90,8,104,27,142.910080794212
90,8,128,32,144.54280266024546
90,9,57,13,142.08457800323197
90,9,81,33,139.95306284519654
90,9,105,28,136.55122161839125
90,9,129,34,142.76427168950644
90,10,82,34,145.8155249783977
90,10,106,29,147.20008500124914
90,10,130,33,144.56252518957393
90,11,83,32,153.52186055605546
90,11,107,26,153.92943452151164
90,11,131,35,135.53016854612318
90,12,84,20,140.47301951737137
90,12,108,25,142.92526637146398
90,13,91,16,131.96960724972945
90,13,115,21,145.50614473408606
90,14,60,27,120.65417131894573
90,15,61,26,140.97424195289443
90,16,62,28,139.77259580954822
90,17,63,29,137.47924962093242
90,18,64,35,148.71915463899683
90,19,65,34,121.47372043837333
90,20,66,32,141.8871960589234
90,21,67,33,130.8168620856417
90,23,69,31,119.36723208193712
90,25,71,30,128.11128417295154
100,0,96,35,142.06010865526247
100,1,49,12,133.53676463093066
100,1,73,30,125.28048666154179
100,1,97,32,141.7483310945305
100,1,121,31,148.874396359021
100,2,74,31,151.15926758357264
100,2,98,33,138.02934961205295
100,2,122,30,151.71180899111758
100,3,99,34,139.8637296424628
